Company,Product,TypeName,Inches,ScreenResolution,CPU_Frequency (GHz),RAM (GB),Memory,OpSys,Weight (kg),Price,CPU,GPU,Memory_Type,GPU_Type,Memory_Type_Score,GPU_Type_Score,Price_Range
Dell,Inspiron 3576,Notebook,15.6,Full HD 1920x1080,1.8,8,256GB SSD,Windows 10,2.13,767,Intel Core i7 8550U,AMD Radeon 520,SSD,Integrated,3.0,1,Mid Budget
HP,15-bs002nv (i3-6006U/4GB/128GB/FHD/W10),Notebook,15.6,Full HD 1920x1080,2.0,4,128GB SSD,Windows 10,1.91,439,Intel Core i3 6006U,Intel HD Graphics 520,SSD,Integrated,3.0,1,Low Budget
Asus,VivoBook Max,Notebook,15.6,1366x768,2.5,4,256GB SSD,Windows 10,2.0,586,Intel Core i5 7200U,Intel HD Graphics 620,SSD,Integrated,3.0,1,Low Budget
MSI,GS73VR 7RG,Gaming,17.3,Full HD 1920x1080,2.8,16,256GB SSD +  2TB HDD,Windows 10,2.43,2449,Intel Core i7 7700HQ,Nvidia GeForce GTX 1070,Hybrid,Integrated,2.5,1,High Budget
Asus,X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Linux),Notebook,15.6,Full HD 1920x1080,2.0,4,256GB SSD,Linux,2.0,415,Intel Core i3 6006U,Intel HD Graphics 520,SSD,Integrated,3.0,1,Low Budget
Dell,Inspiron 5770,Notebook,17.3,Full HD 1920x1080,1.8,16,256GB SSD +  2TB HDD,Windows 10,2.8,1299,Intel Core i7 8550U,AMD Radeon 530,Hybrid,Integrated,2.5,1,Mid Budget
Dell,Vostro 5471,Ultrabook,14.0,Full HD 1920x1080,1.6,8,256GB SSD,Windows 10,1.7,879,Intel Core i5 8250U,Intel UHD Graphics 620,SSD,Integrated,3.0,1,Mid Budget
Lenovo,IdeaPad 520S-14IKB,Notebook,14.0,IPS Panel Full HD 1920x1080,2.7,8,256GB SSD,No OS,1.7,599,Intel Core i3 7130U,Intel HD Graphics 620,SSD,Integrated,3.0,1,Low Budget
Asus,UX410UA-GV350T (i5-8250U/8GB/256GB/FHD/W10),Notebook,14.0,Full HD 1920x1080,1.6,8,256GB SSD,Windows 10,1.4,941,Intel Core i5 8250U,Intel UHD Graphics 620,SSD,Integrated,3.0,1,Mid Budget
HP,250 G6,Notebook,15.6,Full HD 1920x1080,2.5,8,256GB SSD,Windows 10,1.86,690,Intel Core i5 7200U,Intel HD Graphics 620,SSD,Integrated,3.0,1,Mid Budget
Asus,ZenBook Pro,Ultrabook,15.6,Full HD 1920x1080,2.8,16,512GB SSD,Windows 10,1.8,1983,Intel Core i7 7700HQ,Nvidia GeForce GTX 1050 Ti,SSD,Integrated,3.0,1,High Budget
HP,250 G6,Notebook,15.6,1366x768,2.0,4,500GB HDD,Windows 10,1.86,438,Intel Core i3 6006U,AMD Radeon 520,HDD,Integrated,1.0,1,Low Budget
HP,Stream 14-AX040wm,Notebook,14.0,1366x768,1.6,4,32GB SSD,Windows 10,1.44,229,Intel Celeron Dual Core N3060,Intel HD Graphics 400,SSD,Integrated,3.0,1,Low Budget
Lenovo,V310-15ISK (i5-7200U/4GB/1TB/FHD/W10),Notebook,15.6,Full HD 1920x1080,2.5,4,1TB HDD,Windows 10,1.9,549,Intel Core i5 7200U,Intel HD Graphics 620,HDD,Integrated,1.0,1,Low Budget
Asus,FX753VE-GC093 (i7-7700HQ/12GB/1TB/GeForce,Gaming,17.3,Full HD 1920x1080,2.8,12,1TB HDD,Linux,3.0,949,Intel Core i7 7700HQ,Nvidia GeForce GTX 1050 Ti,HDD,Integrated,1.0,1,Mid Budget
Microsoft,Surface Laptop,Ultrabook,13.5,Touchscreen 2256x1504,2.5,4,128GB SSD,Windows 10 S,1.252,1089,Intel Core i5 7200U,Intel HD Graphics 620,SSD,Integrated,3.0,1,Mid Budget
Dell,Inspiron 5370,Ultrabook,13.3,IPS Panel Full HD 1920x1080,1.8,8,256GB SSD,Windows 10,1.4,955,Intel Core i7 8550U,AMD Radeon 530,SSD,Integrated,3.0,1,Mid Budget
Dell,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,1.8,8,256GB SSD,Windows 10,2.2,870,Intel Core i7 8550U,AMD Radeon 530,SSD,Integrated,3.0,1,Mid Budget
MSI,GL72M 7RDX,Gaming,17.3,Full HD 1920x1080,2.5,8,128GB SSD +  1TB HDD,Windows 10,2.7,1095,Intel Core i5 7300HQ,Nvidia GeForce GTX 1050,Hybrid,Integrated,2.5,1,Mid Budget
Acer,Aspire E5-475,Notebook,14.0,1366x768,2.0,8,1TB HDD,Windows 10,2.1,389,Intel Core i3 6006U,Intel HD Graphics 520,HDD,Integrated,1.0,1,Low Budget
Asus,FX503VD-E4022T (i7-7700HQ/8GB/1TB/GeForce,Gaming,15.6,Full HD 1920x1080,2.8,8,1TB HDD,Windows 10,2.2,949,Intel Core i7 7700HQ,Nvidia GeForce GTX 1050,HDD,Integrated,1.0,1,Mid Budget
Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,Full HD 1920x1080,2.5,8,2TB HDD,No OS,2.2,519,Intel Core i5 7200U,Intel HD Graphics 620,HDD,Integrated,1.0,1,Low Budget
Dell,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,1.8,8,128GB SSD +  1TB HDD,Windows 10,2.02,855,Intel Core i7 8550U,Intel UHD Graphics 620,Hybrid,Integrated,2.5,1,Mid Budget
Acer,Aspire A515-51G-32MX,Notebook,15.6,Full HD 1920x1080,2.7,4,1TB HDD,Windows 10,2.2,530,Intel Core i3 7130U,Nvidia GeForce MX130,HDD,Integrated,1.0,1,Low Budget
HP,ProBook 470,Notebook,17.3,Full HD 1920x1080,1.6,8,128GB SSD +  1TB HDD,Windows 10,2.5,977,Intel Core i5 8250U,Nvidia GeForce 930MX,Hybrid,Integrated,2.5,1,Mid Budget
Dell,Latitude 5590,Ultrabook,15.6,IPS Panel Full HD 1920x1080,1.6,8,256GB SSD,Windows 10,1.88,1096,Intel Core i5 8250U,Intel UHD Graphics 620,SSD,Integrated,3.0,1,Mid Budget
Apple,"MacBook 12""",Ultrabook,12.0,IPS Panel Retina Display 2304x1440,1.3,8,512GB SSD,macOS,0.92,1510,Intel Core i5,Intel HD Graphics 615,SSD,Integrated,3.0,1,High Budget
HP,ProBook 440,Notebook,14.0,Full HD 1920x1080,1.6,8,256GB SSD,Windows 10,1.63,860,Intel Core i5 8250U,Intel HD Graphics 620,SSD,Integrated,3.0,1,Mid Budget
Lenovo,IdeaPad 320-15AST,Notebook,15.6,Full HD 1920x1080,2.5,4,128GB SSD,Windows 10,2.2,399,AMD A6-Series 9220,AMD R4 Graphics,SSD,Integrated,3.0,1,Low Budget
Acer,Aspire 3,Notebook,15.6,1366x768,3.0,4,1TB HDD,Windows 10,2.1,395,AMD A9-Series 9420,AMD Radeon R5,HDD,Integrated,1.0,1,Low Budget
Dell,Inspiron 7577,Gaming,15.6,IPS Panel Full HD 1920x1080,2.8,16,128GB SSD +  1TB HDD,Windows 10,2.65,1349,Intel Core i7 7700HQ,Nvidia GeForce GTX 1050 Ti,Hybrid,Integrated,2.5,1,Mid Budget
HP,Pavilion 15-CK000nv,Ultrabook,15.6,IPS Panel Full HD 1920x1080,1.8,8,256GB SSD,Windows 10,1.83,699,Intel Core i7 8550U,Nvidia GeForce GTX 940MX,SSD,Integrated,3.0,1,Mid Budget
HP,250 G6,Notebook,15.6,Full HD 1920x1080,2.5,8,256GB SSD,Windows 10,1.96,598,Intel Core i5 7200U,Intel HD Graphics 620,SSD,Integrated,3.0,1,Low Budget
Asus,FX503VM-E4007T (i7-7700HQ/16GB/1TB,Gaming,15.6,IPS Panel Full HD 1920x1080,2.8,16,128GB SSD +  1TB HDD,Windows 10,2.2,1449,Intel Core i7 7700HQ,Nvidia GeForce GTX 1060,Hybrid,Integrated,2.5,1,Mid Budget
Dell,XPS 13,Ultrabook,13.3,IPS Panel Full HD 1920x1080,1.8,8,256GB SSD,Windows 10,1.21,1649,Intel Core i7 8550U,Intel UHD Graphics 620,SSD,Integrated,3.0,1,High Budget
Asus,FX550IK-DM018T (FX-9830P/8GB/1TB/Radeon,Gaming,15.6,Full HD 1920x1080,3.0,8,1TB HDD,Windows 10,2.45,699,AMD FX 9830P,AMD Radeon RX 560,HDD,Discrete,1.0,2,Mid Budget
Acer,Aspire 5,Notebook,15.6,Full HD 1920x1080,1.8,8,1TB HDD,Windows 10,2.2,689,Intel Core i7 8550U,Nvidia GeForce MX150,HDD,Integrated,1.0,1,Mid Budget
HP,Probook 430,Notebook,13.3,Full HD 1920x1080,1.8,16,512GB SSD,Windows 10,1.49,1197,Intel Core i7 8550U,Intel UHD Graphics 620,SSD,Integrated,3.0,1,Mid Budget
Dell,Inspiron 7577,Gaming,15.6,Full HD 1920x1080,2.5,8,256GB SSD,Windows 10,2.65,1195,Intel Core i5 7300HQ,Nvidia GeForce GTX 1060,SSD,Integrated,3.0,1,Mid Budget
Asus,Zenbook UX430UA,Ultrabook,14.0,Full HD 1920x1080,2.7,8,256GB SSD,Windows 10,1.25,1049,Intel Core i7 7500U,Intel HD Graphics 620,SSD,Integrated,3.0,1,Mid Budget
Acer,Spin 5,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,1.6,8,256GB SSD,Windows 10,1.5,847,Intel Core i5 8250U,Intel UHD Graphics 620,SSD,Integrated,3.0,1,Mid Budget
Dell,Inspiron 3567,Notebook,15.6,Full HD 1920x1080,2.7,8,1TB HDD,Linux,2.2,599,Intel Core i7 7500U,AMD Radeon R5 M430,HDD,Integrated,1.0,1,Low Budget
Dell,Inspiron 3567,Notebook,15.6,Full HD 1920x1080,2.0,4,256GB SSD,Linux,2.2,485,Intel Core i3 6006U,AMD Radeon R5 M430,SSD,Integrated,3.0,1,Low Budget
Asus,X541UV-DM1439T (i3-7100U/6GB/256GB/GeForce,Notebook,15.6,Full HD 1920x1080,2.4,6,256GB SSD,Windows 10,2.0,577,Intel Core i3 7100U,Nvidia GeForce 920M,SSD,Integrated,3.0,1,Low Budget
HP,Omen 15-ce007nv,Gaming,15.6,IPS Panel Full HD 1920x1080,2.8,12,128GB SSD +  1TB HDD,Windows 10,2.62,1249,Intel Core i7 7700HQ,Nvidia GeForce GTX 1050,Hybrid,Integrated,2.5,1,Mid Budget
HP,15-bs017nv (i7-7500U/8GB/256GB/Radeon,Notebook,15.6,Full HD 1920x1080,2.7,8,256GB SSD,Windows 10,1.91,719,Intel Core i7 7500U,AMD Radeon 530,SSD,Integrated,3.0,1,Mid Budget
HP,15-bw000nv (E2-9000e/4GB/500GB/Radeon,Notebook,15.6,Full HD 1920x1080,1.5,4,500GB HDD,Windows 10,2.1,349,AMD E-Series E2-9000e,AMD Radeon R2,HDD,Integrated,1.0,1,Low Budget
Dell,Inspiron 3576,Notebook,15.6,Full HD 1920x1080,1.6,8,1TB HDD,Linux,2.2,647,Intel Core i5 8250U,AMD Radeon 520,HDD,Integrated,1.0,1,Mid Budget
HP,Envy 13-ad009n,Ultrabook,13.3,IPS Panel Full HD 1920x1080,2.7,8,256GB SSD,Windows 10,1.38,1119,Intel Core i7 7500U,Nvidia GeForce MX150,SSD,Integrated,3.0,1,Mid Budget
Microsoft,Surface Laptop,Ultrabook,13.5,Touchscreen 2256x1504,2.5,8,256GB SSD,Windows 10 S,1.252,1340,Intel Core i5 7200U,Intel HD Graphics 620,SSD,Integrated,3.0,1,Mid Budget
HP,Pavilion 14-BK001nv,Notebook,14.0,IPS Panel Full HD 1920x1080,2.5,6,256GB SSD,Windows 10,1.58,659,Intel Core i5 7200U,Nvidia GeForce 940MX,SSD,Integrated,3.0,1,Mid Budget
Lenovo,Ideapad 310-15ISK,Notebook,15.6,Full HD 1920x1080,2.0,4,1TB HDD,Windows 10,1.85,414,Intel Core i3 6006U,Intel HD Graphics 520,HDD,Integrated,1.0,1,Low Budget
Asus,UX430UQ-GV209R (i7-7500U/8GB/256GB/GeForce,Ultrabook,14.0,IPS Panel Full HD 1920x1080,2.7,8,256GB SSD,Windows 10,1.3,1193,Intel Core i7 7500U,Nvidia GeForce 940MX,SSD,Integrated,3.0,1,Mid Budget
MSI,GP62M 7REX,Gaming,15.6,Full HD 1920x1080,2.8,16,256GB SSD +  1TB HDD,Windows 10,2.2,1299,Intel Core i7 7700HQ,Nvidia GeForce GTX 1050 Ti,Hybrid,Integrated,2.5,1,Mid Budget
Lenovo,Thinkpad T470,Notebook,14.0,IPS Panel Full HD 1920x1080,2.7,8,256GB SSD,Windows 10,1.58,1480,Intel Core i7 7500U,Intel HD Graphics 620,SSD,Integrated,3.0,1,Mid Budget
Asus,VivoBook S15,Ultrabook,15.6,Full HD 1920x1080,1.8,16,256GB SSD +  1TB HDD,Windows 10,1.5,1262,Intel Core i7 8550U,Nvidia GeForce MX150,Hybrid,Integrated,2.5,1,Mid Budget
Dell,XPS 13,Ultrabook,13.3,Quad HD+ / Touchscreen 3200x1800,2.4,8,256GB SSD,Windows 10,1.23,1379,Intel Core i7 7560U,Intel Iris Plus Graphics 640,SSD,Integrated,3.0,1,Mid Budget
Lenovo,ThinkPad Yoga,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,2.5,8,256GB SSD,Windows 10,1.37,1399,Intel Core i5 7200U,Intel HD Graphics 620,SSD,Integrated,3.0,1,Mid Budget
HP,Probook 440,Notebook,14.0,IPS Panel 1366x768,1.6,4,500GB HDD,Windows 10,1.63,722,Intel Core i5 8250U,Intel UHD Graphics 620,HDD,Integrated,1.0,1,Mid Budget
Dell,XPS 13,Ultrabook,13.3,IPS Panel Full HD 1920x1080,1.6,8,256GB SSD,Windows 10,1.21,1629,Intel Core i5 8250U,Intel UHD Graphics 620,SSD,Integrated,3.0,1,High Budget
HP,Spectre x360,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,1.6,8,256GB SSD,Windows 10,1.26,1398,Intel Core i5 8250U,Intel UHD Graphics 620,SSD,Integrated,3.0,1,Mid Budget
HP,Probook 440,Notebook,14.0,Full HD 1920x1080,1.8,8,512GB SSD,Windows 10,1.63,1084,Intel Core i7 8550U,Intel UHD Graphics 620,SSD,Integrated,3.0,1,Mid Budget
Dell,Inspiron 7570,Notebook,15.6,IPS Panel Full HD 1920x1080,1.8,8,256GB SSD +  1TB HDD,Windows 10,2.16,1130,Intel Core i7 8550U,Nvidia GeForce 940MX,Hybrid,Integrated,2.5,1,Mid Budget
Asus,X705UV-BX074T (i3-6006U/4GB/1TB/GeForce,Notebook,17.3,Full HD 1920x1080,2.0,4,1TB HDD,Windows 10,2.0,564,Intel Core i3 6006U,Nvidia GeForce 920MX,HDD,Integrated,1.0,1,Low Budget
Asus,VivoBook S15,Notebook,15.6,Full HD 1920x1080,1.8,8,256GB SSD,Windows 10,1.7,1118,Intel Core i7 8550U,Nvidia GeForce 940MX,SSD,Integrated,3.0,1,Mid Budget
Acer,Spin 3,Notebook,15.6,IPS Panel Full HD / Touchscreen 1920x1080,2.4,6,1TB HDD,Windows 10,2.1,479,Intel Core i3 7100U,Intel HD Graphics 620,HDD,Integrated,1.0,1,Low Budget
MSI,GS63VR 7RG,Gaming,15.6,Full HD 1920x1080,2.8,16,256GB SSD +  2TB HDD,Windows 10,1.8,2241,Intel Core i7 7700HQ,Nvidia GeForce GTX 1070,Hybrid,Integrated,2.5,1,High Budget
Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,Full HD 1920x1080,2.5,8,256GB SSD,No OS,2.2,629,Intel Core i5 7200U,Nvidia GeForce 940MX,SSD,Integrated,3.0,1,Mid Budget
